"","SRR11862834","SRR11862836","SRR11862838","SRR11862840","SRR11862842","SRR11862846","SRR11862848","SRR11862850","SRR11862852","SRR11862856"
"WIZ","33","27","11"," 1"," 5","20","47","33","22","36"
"PWWP3A","15","23"," 5"," 9","12","10","10","19","22","20"
"REEP6","4","9","5","1","3","6","2","1","2","5"
"BRD4"," 82"," 75"," 19","  9"," 57"," 37"," 96","122","143"," 94"
"STX10","111","116"," 94"," 41"," 64"," 66"," 87"," 88"," 96","108"
"RPL12P42","5","1","3","1","1","1","4","0","0","0"
"CACNA1A","0","0","1","0","0","0","1","0","0","0"
"CALR","2727","3419","4323","3198","1939","3153","4545","4280","4282","1641"
"BST2","1768","4769","1739","1761"," 460"," 324","1054"," 519","3484"," 720"
"MVB12A","1","4","1","1","3","2","3","3","6","5"
"RASIP1"," 8","15"," 1"," 1"," 8"," 6","12","35","22","32"
"MADCAM1","1","0","0","0","3","0","0","0","0","2"
"BSG","362","643","290","139","123","703","312","489","571","460"
"GRIN2D","4","1","3","2","2","1","3","2","2","1"
"TBXA2R","2","4","4","1","4","2","8","6","8","5"
"CACTIN","15","20","12","11","22","22","11","27","33","20"
"PIP5K1C","24","32","19","12","13","34","21","24","28","28"
"AKAP8","22","27","18","11","41","21","47","44","53","37"
"GRAMD1A","27","37","16"," 8","21","21","28","35","23","28"
"RFX2","1","4","2","0","3","2","2","2","3","1"
"MLLT1","116","117"," 57"," 36","186","127"," 83","136","163","123"
"CLPP"," 7","21","13"," 7","12","20","11","25","16"," 9"
"ALKBH7"," 95","202"," 71"," 24"," 68","140"," 81","137","118","130"
"GTF2F1","111"," 67"," 48"," 35"," 93"," 77"," 47"," 77","102"," 81"
"SLC25A23","66","41","18","19","24","58","21","58","46","64"
"AKAP8L","22","45","30","21","24","28","44","41","41","34"
"YJU2B","22","22","20","19","23","17","30","16","40","18"
"MRI1","18","85","26"," 4","28","17","67","21","38","27"
"C19orf53","317","248","201","202","289","226","369","234","279","189"
"CC2D1A","20","26"," 8"," 5","20","12","23","23","34","27"
"CCL25","0","5","1","0","1","0","1","2","2","0"
"SPINT2","14"," 3","40"," 2"," 8"," 6"," 9"," 8","10","14"
"PPP1R14A"," 16"," 37","  8","  6"," 10","209"," 17"," 38"," 21","223"
"YIF1B","35","51","26"," 8","22","51","66","47","56","33"
"FUT1","0","1","0","0","0","0","1","1","1","2"
"TRMT1"," 59"," 54"," 31"," 49","192"," 41"," 83"," 62","111"," 65"
"CLIP3","16"," 9"," 6"," 6"," 8"," 9","11"," 7"," 7","19"
"THAP8","17","29","11"," 6","16","17","37","39","16","21"
"POLR2I","45","30","16","14","24","26","38","29","19","36"
"TBCB","122","102","100"," 74"," 60","193","103"," 99"," 85","104"
"CAPNS1","116","244","218"," 69","111","221","348","102"," 91"," 79"
"ZNF468"," 4"," 6"," 5"," 2"," 4"," 3","11"," 9"," 6"," 5"
"WDR62","1","4","2","0","0","1","2","4","1","1"
"NDUFA3","139","226","138"," 81","141","163"," 89"," 67"," 73"," 81"
"LENG1","110","104"," 30"," 45"," 90","107"," 62","234","172","108"
"TMC4","1","1","1","0","0","0","1","1","1","0"
"MBOAT7","67","81","50"," 9","37","46","80","64","67","59"
"TSEN34","31","41","21","17","33","36","51","40","41","25"
"RPS9","205","198","383","183","275","294","210","194","165","242"
"LILRA6"," 3"," 0","13"," 0"," 3"," 1"," 2"," 2"," 1"," 0"
"LILRB5","0","0","4","0","0","0","0","1","0","0"
"LILRB2"," 4"," 1","46"," 1"," 3"," 1"," 7"," 3"," 2"," 3"
"ARHGEF18","12","17"," 5"," 5","14","15","21","39","27","23"
"MARCHF2","142","205"," 93"," 19"," 60","140","149","230","166","270"
"ZNF573"," 5","10"," 8"," 4","11"," 7"," 9"," 9","13"," 7"
"LSM14A"," 48"," 90"," 57"," 94"," 89"," 96","110"," 78","124"," 67"
"MKNK2","25","34","23","31","80","38","34","58","60","44"
"HPN","1","0","1","0","0","3","1","1","0","6"
"PRR19","1","3","3","0","2","3","5","6","1","1"
"SNRPD2","315","303","468","445","353","321","366","419","407","266"
"TGFBR3L","0","0","0","0","0","0","0","0","0","0"
"DAND5","3","1","0","0","1","1","2","0","3","2"
"ARHGAP45"," 2"," 1","16"," 1"," 6"," 2"," 4"," 2"," 1"," 3"
"TFPT","156"," 83"," 33"," 38","109"," 83"," 45"," 91","102"," 75"
"TOMM40","67","41","51","16","46","60","54","93","44","44"
"APOE","21733"," 2998"," 4574","  543"," 2383"," 7637"," 2663","16060"," 7672","28843"
"APOC1"," 933","  77","1364","  28"," 220"," 597","  96"," 513","  71"," 801"
"CLPTM1","142","150"," 97"," 46"," 42","164","148","181"," 92","102"
"ZNF563"," 5","14"," 5","25","15"," 6"," 9","10","20"," 8"
"ZNF442","0","7","2","7","1","3","1","0","1","0"
"RPS29P23","0","0","0","0","0","0","0","0","0","0"
"GCDH","49","55","22"," 6","29","31","15","44","39","55"
"MYADM"," 21"," 27"," 25"," 52"," 59"," 68","131"," 19"," 87"," 13"
"PRKCG","1","0","0","0","0","1","0","1","0","3"
"CACNG7"," 39","195","  9"," 17"," 17"," 95"," 40","117"," 71"," 62"
