"","SRR11862835","SRR11862837","SRR11862839","SRR11862841","SRR11862845","SRR11862847","SRR11862849","SRR11862851","SRR11862855","SRR11862857"
"KLHL24","24","46","34","36","22","16","18","22","20","15"
"RTP4"," 21"," 18"," 11"," 34"," 27","105","  5"," 14","  7","  9"
"IL17RD","2","4","4","2","7","7","3","2","5","2"
"DNAJC13","15","28","32","43","17","36","14","26","12","19"
"HGD","0","1","3","1","0","1","0","2","2","2"
"POGLUT1"," 7","19","12","18","18"," 9","15","12","11","12"
"IL1RAP","1","3","4","9","6","6","3","3","2","4"
"DGKG"," 28"," 39"," 55"," 18"," 61"," 16"," 80","101"," 19"," 81"
"KLHL6","5","1","1","4","3","5","1","1","1","1"
"METTL15P1","1","8","3","3","1","2","2","1","0","0"
"ADAMTS9","10"," 4"," 4","11","34","18"," 3"," 4","17"," 7"
"B3GNT5","15"," 2"," 3","11"," 3"," 5"," 1"," 2"," 3"," 2"
"GOLIM4","22","49","31","42","54","38","42","34","35","30"
"CCDC50","22","27","21","36","40","29","28","25","92","42"
"HES1","2","2","1","1","1","4","6","5","5","6"
"GK5","5","9","9","8","7","4","3","5","3","2"
"EHHADH"," 3","12","10"," 7"," 3"," 8","14"," 7"," 8"," 3"
"EIF2B5","17","16","16"," 7","18","10","32","27","36","24"
"PIK3CB"," 43"," 61","128"," 75"," 39"," 34"," 84","124"," 23"," 50"
"SHQ1"," 7","11"," 8","12","12"," 8"," 6"," 9"," 7"," 4"
"PCYT1A","2","7","3","2","5","2","5","1","2","4"
"LRCH3","1","2","2","1","1","1","1","1","1","2"
"FBXO45","2","2","1","1","2","2","2","2","1","2"
"NMNAT3","1","1","0","0","1","1","2","1","2","1"
"FLJ42393","12"," 8","11","11","14","19"," 6"," 8","13"," 6"
"RPS29P3","0","0","0","0","0","2","0","0","0","0"
"BCL6"," 63"," 36"," 24"," 26"," 52","106"," 38"," 49","128"," 64"
"YEATS2","12","33","41","22","14","20","22","32","14","19"
"FYTTD1","15","19","18","14","28","18","16","14","27","25"
"SENP2","32","37","48","21","28","22","29","61","25","31"
"BDH1","17","16","18"," 3","16"," 8","34","40","18","42"
"PLAAT1","20","64","91","13","26","18","41","47","95","33"
"PYDC2","  0"," 24","216","  0","  0","233"," 39"," 85"," 97"," 99"
"RUBCN","15","14","17"," 7"," 8","33","29","38","43","34"
"TMEM41A","4","9","5","6","6","9","7","7","5","3"
"MB21D2"," 5"," 4","15"," 3"," 4"," 2","21","11","13","19"
"P3H2","1","3","1","2","2","8","3","3","9","3"
"WDR53","4","8","5","4","5","1","1","0","2","0"
"TPRG1","1","1","2","2","1","2","1","0","1","0"
"UBXN7"," 7","32","22","15"," 8","13","15"," 8"," 8"," 7"
"ATP13A4"," 9","32","30","10"," 8","11","21","16"," 1","11"
"DPPA2P3","0","0","2","0","2","9","0","1","1","5"
"ETV5"," 22"," 25"," 17"," 12"," 27","111"," 65"," 71"," 19"," 63"
"RAP2B"," 5"," 6"," 9"," 6","13","20","17","17","25","16"
"EPHB3","1","1","1","1","1","2","1","3","1","3"
"ST13P15"," 3"," 1"," 1"," 3"," 7"," 2"," 4"," 1","13"," 6"
"ARF4","161","230","322","651","211","451","147","219","260","101"
"EIF5A2"," 3"," 8","13"," 5"," 4"," 6","12"," 8"," 2"," 5"
"VEZF1P1","48","91","37","80","42","86","35","56","44","42"
"CD96","1","1","0","3","1","1","1","0","1","0"
"U2SURP","14","25","19","21","15","20","18","22","12","17"
"SNORA63D","0","0","0","0","0","0","0","0","0","0"
"RNA5SP150","2","0","0","3","0","0","0","0","0","0"
"ADGRG7","0","0","0","0","0","0","0","0","0","0"
"UBQLN4P1","0","2","3","1","2","1","1","2","2","9"
"GYG1"," 1"," 9","17"," 1"," 1"," 0","11","19"," 1","12"
"HLTF","28","24","43","58","13","48","31","32","27","20"
"HPS3","14","19","20","39","21","28","15","17","15","15"
"RPN1"," 69"," 64"," 54","111"," 68","103"," 88","108","108"," 84"
"CBX5P1"," 8","20","14"," 6","10"," 5"," 4"," 5","11"," 6"
"C3orf38","21","54","56","42","18","34","20","26","23","16"
"PCNP","136","306","387","268","117"," 96","176","192","125","122"
"RPL24","519","704","967","958","766","285","495","462","579","457"
"CEP97","17","21","18","25","22"," 7","17","18","21","19"
"KY"," 2"," 5"," 2"," 0"," 3"," 2","10"," 5"," 3"," 4"
"BRK1","276","549","960","699","363","493","335","551","264","312"
"IRAK2"," 6"," 8"," 1"," 2"," 5"," 4","11"," 8"," 6"," 9"
"LINC00852","26","66","23","23","21","40","21","24","15","15"
"GHRL","2","1","4","3","8","2","0","3","3","5"
"SEC13","43","30","17","17","40","61","36","42","70","49"
"SLC25A20","17","25","15","15","26","15","12","16","24","12"
"P4HTM","15","16","20"," 3"," 9","12","62","44","37","37"
"DALRD3","11","14","17"," 7"," 8","23","20","29","42","14"
"NDUFAF3","308","207","136"," 83","336","202","413","464","499","443"
"PTX3"," 0"," 1"," 2"," 3"," 3","17"," 0"," 2"," 9"," 3"
"THOC7"," 76","197","299","178","109"," 88","141","189","127","151"
"EIF4E2P2","0","2","0","2","0","1","3","2","4","0"
"ZBTB20","1","1","1","1","1","2","1","1","1","1"
"MLH1","4","5","7","5","3","6","3","6","4","2"
"THRB"," 1","12","20"," 1"," 1"," 2"," 9","17"," 2"," 9"
"GAP43","  25"," 417"," 662"," 189","  65"," 274"," 337","1036"," 408"," 496"
"RPL15","14","35","31","19","24","17","23","19","15","26"
"CNBP","193","327","260","209","184","199","270","224","285","226"
"XPC","56","44","29","36","46","57","47","57","91","66"
"CLDN11","6","4","0","3","6","0","4","2","1","4"
"IGF2BP2","3","0","0","1","2","3","1","1","7","1"
"ZNF80","1","0","0","0","2","1","0","0","4","0"
"ALDH1L1"," 3"," 4"," 4"," 0"," 3"," 7","15"," 6"," 2"," 5"
"CCNL1","23"," 6"," 5"," 4"," 9","20"," 8","11"," 7"," 6"
"NCEH1"," 3","21","52","14"," 2"," 7","30","21"," 0","21"
"TBL1XR1","28","54","67","67","43","46","49","55","44","33"
"NUDT16"," 6"," 6"," 2"," 2"," 6"," 3","10"," 8"," 5"," 8"
"DIPK2A","13","12"," 9"," 5","12"," 8"," 8"," 6"," 5"," 9"
"RABL3"," 9","18","24","18"," 9","10","15","10"," 7","14"
"FTH1P4","3","3","0","0","0","2","0","0","3","6"
"ATXN7","1","2","2","1","1","1","2","2","1","1"
"TMEM45A","2","1","1","4","1","7","0","0","2","1"
"ABI3BP"," 6"," 5"," 2","23","12","10"," 4"," 4","14"," 4"
"RPL7P15"," 0","10","26"," 3"," 0"," 6","10"," 6"," 3"," 0"
"RAB7A"," 82","140","104"," 89"," 72","142","109","130"," 82","104"
"NGLY1"," 7","13","14","14"," 6","11","11"," 8"," 4","15"
