"","Gene","logFC","padj"
"437","CLMN",-2.7663847283968,0.000139018124266485
"438","TPRG1L",-1.72896955582829,0.00014038152083935
"439","BRAT1",1.56663690914695,0.00014038152083935
"440","RPL18AP3",1.02829912295148,0.00014038152083935
"441","GABRG1",-5.17386865331751,0.000140409265400224
"442","B2M",1.33649330896358,0.000140409265400224
"443","MIR7-3HG",-4.51335559923888,0.000140409265400224
"444","ELAPOR2",-2.61288332851374,0.000140542612662204
"445","DOCK5",-2.80907308250893,0.000140542612662204
"446","GUCY1B1",-2.50750456719314,0.000141175731969206
"447","S100A6",1.45522713316124,0.000143952825063885
"448","RAC3",0.951625616958147,0.000143952825063885
"449","ICAM1",2.51740918391496,0.000144209857151624
"450","MYH9",1.27746533948759,0.000144944988392164
"451","INPPL1",1.02418617844006,0.000145586543023553
"452","GABARAPL1",-1.7841790456296,0.000145586543023553
"453","FAM20C",2.20732589509082,0.000145910477388995
"454","MXI1",-1.2446566867197,0.000145910477388995
"455","ANXA2",2.51113448594104,0.000145910477388995
"456","WASF1",-1.49688152438147,0.000146831413186807
"457","HS3ST3A1",3.97602927979829,0.000146831413186807
"458","RFKP1",-4.63349660653713,0.000147653633061792
"459","SORL1",-1.32494123029945,0.000152040076919806
"460","H19",5.50187084423214,0.000152040076919806
"461","TAFA1",-5.2331920505278,0.000152633380499286
"462","RNF40",1.19092294462779,0.000153879162244849
"463","RAB30",-1.31700668205871,0.000154071656806449
"464","CDR2",1.58705676636876,0.000154071656806449
"465","LIMD1",1.71536348734842,0.000154775382133497
"466","GABBR1",-3.10571432002251,0.000155714062272477
"467","UBE2S",1.64625802076325,0.000157309072371708
"468","ADAM9",1.19375922512539,0.00015903447585411
"469","HLF",-3.27887327842799,0.000159925104727655
"470","CHGA",-4.56912194521878,0.000160156500171213
"471","APBB2",-2.00032292224348,0.000160860540422825
"472","TCEAL6",-3.23951240376584,0.000160860540422825
"473","DSCAM",-2.68585354125549,0.000161056639282896
"474","EFHD1",-2.73165806206469,0.000162284161367926
"475","MEGF10",-2.83325465689717,0.000162720464967636
"476","GBE1",1.44910342714187,0.00016676670566088
"477","RMND5A",-1.33495130049975,0.000166976169608944
"478","OR2T32P",-4.02357194014437,0.000167335404104036
"479","ACLY",1.29143748732146,0.000169443302296352
"480","FBXW7",-2.35351412379465,0.000170093441705342
"481","MATK",-3.38497440665391,0.000170935713631546
"482","DGKI",-3.29675553407463,0.000171590841763122
"483","CXCL3",4.069448220066,0.000171688837453865
"484","NT5DC2",1.75581438132261,0.000172515924257673
"485","ADCY2",-2.02555335575784,0.000172515924257673
"486","EIF4EBP1",2.26121960590349,0.000172668721443729
"487","CCDC124",1.24943433219556,0.000173289234964399
"488","PIP5K1B",-3.92662367124372,0.000173384859729069
"489","CAMKK2",-2.07150683234398,0.000174649400130777
"490","SLC9A6",-1.65124264007083,0.000175308800151407
"491","EDIL3",-3.76012659269597,0.000176022571245334
"492","H2BC15",1.75010802335333,0.000176022571245334
"493","GNAL",-3.62294188084277,0.000176022571245334
