"","SRR11365252","SRR11365253","SRR11365254","SRR11365255","SRR11365256","SRR11365258","SRR11365259","SRR11365260","SRR11365261","SRR11365262","SRR11365263","SRR11365264","SRR11365265","SRR11365266"
"IFI44L"," 5","12"," 5","10"," 2"," 4"," 2"," 2","11"," 2"," 9"," 4"," 2"," 2"
"CYB561D1","17","16","17","17","11","13","15","13","12","11"," 9","15","11","12"
"AMIGO1","108"," 74"," 97"," 68"," 53"," 71"," 73"," 60"," 58"," 51"," 45"," 79"," 46"," 47"
"GNAI3","19","19","16","20","26","12","14","17","14","23","19","15","18","17"
"RNU6V"," 8"," 3"," 3"," 8"," 0"," 0"," 6","11"," 5"," 3","18"," 4"," 8","10"
"RPL7P8","1","0","1","1","1","1","1","0","2","0","1","1","1","1"
"GNAT2"," 8","10"," 7"," 8","10"," 5"," 8","10"," 8"," 9"," 6","10","10"," 9"
"PTGS2"," 9","21"," 7","15"," 7"," 5"," 3","10"," 5"," 6"," 7"," 5"," 6"," 6"
"DDAH1","229","123","210","245","165","144","191","158","182","152","183","120","150","153"
"SLC16A1","29","31","17","13","34","22","12","33","15","32","37","13","56","53"
"AKR7A2P1","1","2","0","1","2","4","2","6","2","3","3","4","6","9"
"NGF","1","0","1","1","0","1","1","1","1","1","1","2","1","0"
"LINC02593","1","0","0","0","3","0","0","0","0","1","2","0","1","1"
"NOC2L","35","30","36","30","24","30","28","27","25","22","27","30","22","21"
"HES4","17","18","25","20"," 6","12"," 9","20","19","17","21","18","12","11"
"ISG15","25","41","30","31","14","18","12","20","31","14","18","28","21","16"
"AGRN","39","31","39","50","22","35","36","40","35","21","33","45","32","28"
"MRPL37","55","43","54","33","31","45","37","36","40","35","35","45","28","31"
"SSBP3-AS1"," 5"," 5"," 5"," 9"," 9"," 5"," 5"," 7"," 4"," 6"," 7"," 7"," 8","10"
"SSBP3","70","50","72","56","48","47","52","48","52","51","42","70","51","52"
"SERPINC1","0","0","0","1","1","0","0","0","0","0","1","1","1","1"
"COG2","12","12"," 9","13","12"," 9"," 8","10"," 9","10","10","10","11","11"
"CAPN9","2","1","2","1","1","2","1","2","3","2","9","2","1","2"
"C1orf198","42","20","29","33","36","33","30","36","31","47","73","40","34","36"
"IFI44"," 9","23","11","23","10"," 6","10"," 9","20","12","19"," 7"," 8"," 9"
"TDRD10","1","1","1","1","1","1","0","2","1","1","2","1","1","1"
"UBE2Q1","69","61","67","48","43","47","48","42","48","48","36","52","36","34"
"UBE2Q1-AS1","2","2","1","7","4","0","4","4","2","5","4","1","1","3"
"ADAR","157","113","147","112","102","113","114","104","105","100"," 97","133"," 90"," 87"
"NENFP1","1","2","1","5","3","1","4","2","2","3","3","3","3","4"
