"","SRR11365272","SRR11365273","SRR11365275","SRR11365277","SRR11365279","SRR11365282","SRR11365284","SRR11365285","SRR11365286","SRR11365287","SRR11365288","SRR11365289","SRR11365291","SRR11365293","SRR11365294","SRR11365296","SRR11365299","SRR11365300","SRR11365301"
"MTIF3","27","26","36","38","37","27","26","32","29","49","40","33","35","28","35","34","28","37","37"
"HS6ST3"," 4"," 1"," 1"," 1"," 2"," 2"," 1"," 5"," 1"," 1"," 4","83"," 2","18"," 4"," 2"," 1","14"," 2"
"CCDC70","0","0","0","0","1","0","1","0","0","0","0","3","0","1","0","0","0","0","0"
"GPR18"," 8"," 9","11"," 9","10"," 2"," 7"," 8"," 5","11"," 5","12"," 6"," 7"," 7"," 6"," 4"," 9"," 2"
"MTUS2"," 1"," 0"," 1"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1","18"," 1","11"," 1"," 0"," 0"," 5"," 1"
"TNFSF13B"," 22"," 29"," 16"," 25"," 42"," 18","  8"," 15"," 11"," 60","147","  4"," 52","  6"," 36"," 26"," 67"," 32"," 43"
"DLEU7","1","3","1","3","3","3","0","2","0","3","2","4","3","2","5","2","2","2","0"
"AMER2"," 64","109"," 23"," 23"," 42"," 26"," 32","239"," 13"," 62"," 29","100"," 58","129","172"," 39","  2"," 67","201"
"RNF6","45","33","41","37","33","31","36","54","85","48","41","64","53","33","28","27","49","42","46"
"ATP8A2"," 2"," 1"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 1","61"," 3","15"," 2"," 2"," 0","11"," 1"
"SACS","101"," 22"," 78"," 49"," 38"," 27"," 58"," 61"," 43"," 47"," 19"," 55"," 49"," 47"," 32"," 32"," 33"," 64"," 87"
"ANKRD10-IT1"," 98"," 54"," 80","149"," 72"," 23"," 45"," 57"," 70"," 54"," 49"," 26"," 51"," 55"," 51"," 54"," 33"," 63"," 31"
"LINC00368","0","0","0","0","2","0","0","1","0","0","0","1","0","1","1","0","0","3","0"
"ARHGEF7-AS2","1","0","0","1","3","0","0","1","0","0","0","2","1","1","2","0","0","0","0"
"ARHGEF7-IT1","0","1","0","2","3","0","2","2","1","1","0","4","1","4","2","3","1","2","0"
"ARHGEF7-AS1","0","0","1","2","4","0","0","1","1","0","0","6","1","2","4","3","0","3","1"
"TEX29","3","3","3","1","3","1","1","4","1","1","1","4","1","4","2","2","0","5","1"
"KCTD12","271","280","200","232","187","245","121","107","140","427","316","113","419"," 61","160","286","397","166"," 75"
"DHX9P1","1","1","3","1","3","1","1","2","1","3","2","1","2","2","2","2","2","1","2"
"CLN5","6","6","7","5","6","2","4","5","7","5","4","4","3","4","4","4","3","5","2"
"FBXL3","38","30","36","28","32","26","24","43","46","40","22","37","38","18","28","29","35","30","16"
"MYCBP2-AS1","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","1","0","1","0"
"MYCBP2-AS2"," 6","10"," 7"," 3"," 6"," 3"," 3"," 5"," 3"," 6"," 1","13"," 2"," 3"," 5"," 2"," 0"," 1"," 1"
"ATP11A-AS1","2","3","3","2","4","1","2","1","1","3","1","2","1","3","3","1","1","2","1"
"MCF2L-AS1","3","1","0","2","1","1","3","3","1","0","3","3","1","5","3","1","1","3","5"
"SERPINE3","2","3","4","1","2","1","4","2","3","1","1","2","2","4","2","2","1","4","2"
"RPL21","24","25","29","19","18","15","20","29","46","32","17","17","24","20","25","21","23","13","28"
"METTL21C","0","0","2","1","1","0","1","3","1","1","0","2","1","0","0","2","0","1","1"
"ERCC5","3","4","5","4","4","2","3","3","5","3","2","4","3","3","4","3","2","3","3"
"IL17D","18","13","23"," 8","23"," 4"," 6","42","10"," 5"," 7","16","13","24"," 9"," 8"," 4","14","19"
"GGACT","3","4","7","4","2","3","3","2","2","5","4","2","5","3","2","3","3","5","3"
"KCTD4"," 6"," 4"," 4"," 5"," 4"," 1"," 3"," 3"," 2"," 3"," 2","27"," 2"," 9","12"," 3"," 2"," 7"," 2"
"SLITRK5"," 3"," 7"," 0"," 1"," 5"," 4"," 3"," 6"," 1"," 2"," 5","23"," 3","10"," 2"," 2"," 4"," 7"," 0"
"ATP11A","28","25","32","26","43","23","33","21","13","31","28","14","27","32","41","17","20","31","44"
"KLF12","37","19","36","40","32","13","32","56","16","16","11","36","39","36","15","39","17","45","24"
"CYSLTR2","6","2","5","5","9","5","2","8","1","9","8","3","5","2","1","6","1","7","5"
"OXGR1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0"
"COMMD6","37","35","42","49","36","27","40","44","50","46","21","21","39","16","21","40","33","26","26"
"THSD1","21","18","28","14","15","16","17"," 6"," 9","10","24","19","12"," 9"," 4"," 6","13","23","41"
"RNY4P24","0","7","4","3","0","0","0","0","2","1","2","0","2","4","3","0","2","0","3"
"VPS36","34","34","44","35","30","19","28","29","25","26","23","38","28","24","19","24","27","34","17"
"CKAP2","66","25","68","46","54","31","32","58","20","42","30","20","51","33","22","88","45","57","76"
"LINC00345","1","1","1","0","1","0","0","0","1","0","1","0","1","2","0","1","0","1","0"
"TPTE2P3","0","0","1","1","0","0","0","3","0","0","0","1","0","0","0","0","0","1","0"
"MRPS31P4","2","2","1","2","2","1","2","2","1","2","1","2","2","2","3","2","1","3","2"
"SUGT1","41","36","39","39","45","19","28","52","38","31","25","51","29","41","29","29","34","43","18"
"MBNL2"," 87"," 82"," 58","106"," 87"," 55"," 47","110"," 73","134"," 57","173","103"," 87","139"," 81"," 73"," 83"," 49"
"ZIC2","17"," 9","34"," 2"," 3"," 3"," 8","23"," 4"," 4"," 7","10"," 3","12"," 2"," 2"," 7","12"," 2"
"ASNSP3","1","1","2","1","2","1","2","1","0","0","0","1","0","3","0","0","0","1","1"
"RPL15P18","2","4","3","3","3","1","3","0","1","3","2","1","0","2","1","0","0","3","0"
"ZIC5","11"," 6","16"," 1"," 1"," 2"," 4","14"," 6"," 2"," 4"," 5"," 2"," 3"," 2"," 1"," 4"," 5"," 2"
"LNX2"," 7"," 7","14","11"," 7"," 8","10","10","13"," 9"," 7"," 8","13"," 6"," 6","11"," 7"," 9"," 8"
"GSX1"," 1"," 0"," 5"," 3"," 2"," 0"," 2"," 4"," 0"," 0"," 0"," 0"," 0","10"," 2"," 6"," 0"," 3"," 0"
"POLR1D"," 7"," 6"," 9"," 9"," 9"," 5"," 8"," 7","13"," 8"," 7"," 7","10"," 7"," 7"," 7"," 7"," 8"," 8"
"LIG4","25","22","12","20","29","12","19","18","16","23","20","23","19","18","19","17","13","19","23"
"LINC01232","5","4","4","2","3","1","2","2","3","5","5","1","4","1","2","1","3","3","2"
"LINC00449","2","1","0","0","1","0","2","0","0","0","1","0","0","0","1","0","0","0","1"
"LINC01039","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"MIR4306","0","0","6","2","2","0","2","0","0","2","0","0","0","2","0","0","2","0","3"
"CLYBL-AS2","2","2","2","1","1","1","0","0","1","1","1","1","0","1","0","0","0","0","1"
"CLYBL-AS1","0","2","2","1","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
"CLYBL","2","4","5","1","2","1","3","3","2","2","4","5","2","3","2","1","2","2","3"
"ITGBL1"," 0"," 2"," 3"," 4"," 6"," 5"," 1"," 3","12"," 3"," 2"," 1"," 3"," 2"," 2"," 2"," 4"," 1"," 1"
"SUPT20H","16","14","19","15","16","14","14","15","14","14","11"," 8","13","13"," 9","10","12","14","15"
"UGGT2","40","29","36","29","30","16","32","30","24","26","24","27","20","19","20","29","25","29","35"
"NBEA","21","12"," 9","17","18"," 4","21","18"," 8"," 6"," 7","52","15","32"," 8","14"," 7","23"," 3"
"SETDB2","13","13","13","12","14"," 8","10","13","12","24","10","17","12","12"," 9","10"," 9","12"," 5"
"SNRPGP14","6","4","5","3","1","6","1","1","3","3","4","4","1","4","2","2","1","8","1"
"PHF11","27","17","16","19","11","10"," 6","12","12","25","30","10","14"," 7","19"," 8","24","14"," 6"
"RCBTB1","53","46","62","44","46","32","43","64","21","75","41","42","57","46","52","43","30","46","42"
"SKA3","14"," 1","16"," 7","10"," 6"," 5","12"," 2"," 4"," 2"," 1"," 7","14"," 9","12"," 7","11","23"
"MRPL57","53","21","45","34","45","29","32","47","22","38","38","31","40","34","40","33","38","38","62"
"GRK6P1","0","1","1","1","2","0","3","1","1","2","1","2","1","3","3","2","0","3","0"
"RNA5SP25","2","2","2","3","2","0","0","2","0","0","0","0","1","3","1","2","0","0","2"
"ZDHHC20-IT1","1","1","2","1","0","0","0","1","2","1","0","2","0","4","1","0","1","1","0"
"MICU2","54","32","56","50","36","28","34","51","30","49","43","42","44","33","34","35","47","41","53"
"FNTAP2","7","9","7","2","4","3","4","2","3","4","0","4","3","3","5","1","2","7","1"
"RNU6-59P","0","3","3","3","0","0","3","0","3","0","0","4","0","2","0","2","1","2","2"
"RPS7P10","17","10","17","11","12","16","13","23","41","27","16","12","19","13","10","21","19","10","21"
"FGF9"," 1"," 0"," 1"," 1"," 3"," 0"," 2"," 1"," 1"," 0"," 0","13"," 6"," 7"," 2"," 2"," 0"," 4"," 0"
"ALG5"," 8"," 6"," 9"," 8"," 7"," 9"," 8"," 8"," 8"," 8"," 7"," 5"," 5"," 5"," 5"," 6"," 8"," 6","10"
"EXOSC8","13"," 8","12"," 9","10"," 7"," 9","12","10"," 7"," 6"," 5"," 6"," 9"," 6"," 9"," 6","10","11"
"ENOX1"," 8","14","12"," 5"," 7"," 8"," 8","10"," 2","13"," 5","20","10","14","16"," 7"," 6","12"," 2"
"RPL36P19","0","4","6","0","0","0","1","3","0","3","0","7","0","4","3","0","0","1","0"
"ENOX1-AS2","2","2","3","1","0","0","1","2","0","2","2","3","0","2","4","2","2","1","0"
"ENOX1-AS1","1","3","3","2","2","1","1","2","0","4","1","4","1","4","3","1","1","2","0"
"CCDC122","3","6","4","2","3","1","3","2","1","4","5","2","4","2","5","2","5","1","0"
"LACC1"," 4","12"," 7","10"," 9"," 9"," 9"," 3"," 2","36","13"," 6"," 8"," 8","23","10","11"," 8"," 1"
"DGKZP1","13","10","15","12","11","10","15"," 8","17","12","13","58","10","36","16"," 8","10","27","31"
"MIR8075","0","2","2","2","0","0","0","0","0","2","2","0","0","0","0","0","0","3","0"
"LAMP1"," 85","145"," 92","132","153"," 94"," 65","142"," 74","155","135"," 56","123"," 81","122"," 79","104"," 79","113"
"GRTP1","2","6","4","1","5","1","3","4","1","3","4","2","2","4","2","1","2","3","2"
"GRTP1-AS1","0","2","1","0","1","0","1","1","0","0","0","1","2","1","1","0","0","0","0"
"DCUN1D2","10","12","16","15","17"," 5","14","13","14","14"," 8","22","13","16","13","10","11","12","16"
"DCUN1D2-AS"," 3"," 6","11"," 5"," 8"," 1"," 4"," 6","13"," 1"," 5"," 9"," 1"," 9"," 5"," 2"," 2"," 1"," 1"
"RNU1-16P"," 9"," 2"," 9"," 6","13"," 4"," 7","11"," 6"," 8"," 3"," 6"," 3"," 7"," 7"," 3","11"," 6"," 6"
"TMCO3","16","17","19","19","20","18","21","21","23","26","11","14","15","14","15","15","29","17","24"
"TFDP1","40"," 9","46","38","51","26","40","53","17","44","44","31","41","48","42","43","44","49","90"
"ADPRHL1","1","1","1","1","2","0","1","1","8","1","1","4","1","2","1","1","2","1","0"
"ZC3H13","40","45","43","46","59","29","40","45","62","40","52","52","43","48","36","30","35","57","21"
"N4BP2L2-IT2","21","25","23","17","18"," 7","19","12","31","18","13","21"," 8","17","17","11"," 6","21"," 9"
"NEK5"," 9"," 2"," 4"," 4"," 4"," 1"," 2","22"," 3"," 2"," 2"," 3"," 2"," 2"," 1"," 2"," 2"," 3"," 1"
"XPO4","30","24","26","23","24","14","21","32","22","25","20","22","19","26","25","25","22","27","39"
"LINC00402","1","1","2","0","4","0","0","2","1","0","0","3","3","4","2","1","0","1","0"
"LINC01058","1","1","0","1","1","0","0","1","0","1","1","0","1","1","1","0","0","0","0"
"LINC00426","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","1","0","1","0"
"LINC00463","0","2","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","1","1"
"METTL21EP","2","1","1","1","2","0","2","1","1","1","1","5","1","2","1","0","0","1","1"
"LINC00404"," 1"," 1"," 0"," 1"," 4"," 0"," 0"," 2"," 2"," 0"," 3","17"," 4","17"," 9"," 0"," 1"," 2"," 1"
"MYCBP2","25","26","25","28","31","15","24","24","25","33","22","71","36","38","24","22","17","39","11"
"MTMR6","42","44","40","57","46","30","42","54","41","58","35","54","58","34","44","41","55","40","49"
"MRPL3P1"," 8"," 6"," 7","10","10","10"," 7","10"," 6"," 8"," 7"," 6"," 7"," 6"," 7","15"," 7","12","13"
"PARP4P2","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","0","1","0","1"
"CCNQP3","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","1","0"
"SLC25A15P2","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1"
"CYCSP32","0","1","0","1","1","0","0","1","0","0","0","0","0","3","0","0","0","1","2"
"MRPS31P2","1","1","0","1","1","0","0","3","1","0","0","0","1","1","2","0","1","2","2"
"ESRRAP1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","1","0"
"GOLM2P1","2","1","1","2","1","0","0","2","1","0","0","0","1","1","1","0","1","1","0"
"MPHOSPH8","34","35","48","38","45","22","41","34","56","38","41","62","33","53","43","31","33","54","29"
"PSPC1-AS2","11"," 9","14"," 9"," 9"," 5"," 5","13","12"," 4"," 7","14"," 5","18","10"," 7"," 4","11"," 6"
"PSPC1","39","33","35","38","37","22","34","33","29","30","34","42","29","44","32","33","25","49","44"
"RN7SL166P"," 7","12"," 1"," 4"," 1"," 0"," 1"," 1"," 2"," 4"," 1"," 6"," 2"," 5"," 8"," 5"," 3"," 7"," 3"
"ST6GALNAC4P1","0","0","3","5","4","2","1","0","3","1","2","1","0","3","2","1","0","0","1"
"WDFY2","11","12","13","15","17"," 9","12","11","12","13","12"," 8"," 9"," 9","13"," 9"," 9","14"," 5"
"DHRS12","4","4","4","6","6","2","4","5","4","5","5","3","4","3","5","2","2","6","2"
"FABP5P2"," 0"," 1"," 1"," 0"," 4"," 2"," 5"," 1"," 3"," 1"," 0","11"," 3"," 0"," 0"," 1"," 2"," 1"," 1"
"LGMNP1"," 4","10"," 2","13"," 8"," 7"," 3"," 1"," 3","24"," 9"," 2"," 6"," 2"," 6"," 5"," 4"," 3"," 3"
"HNRNPA3P5","2","1","3","2","4","6","3","4","3","3","4","6","1","4","3","3","2","9","6"
"MIR4704","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LMO7"," 4"," 4"," 4"," 5"," 7"," 5"," 3"," 3"," 2"," 5"," 4","18"," 5","12"," 4"," 3"," 5","10"," 3"
"LMO7DN","0","0","0","0","0","0","0","2","0","0","0","0","3","1","0","3","1","0","0"
"LMO7DN-IT1","0","1","1","0","0","0","0","0","0","0","0","2","6","0","2","5","0","0","0"
"LINC01034","0","0","1","0","0","0","0","0","1","0","0","2","0","2","0","0","0","2","0"
"TPTE2","2","0","0","1","0","0","0","1","0","0","0","1","0","1","1","0","0","1","1"
"EIF4A1P7","1","1","2","2","1","1","2","1","1","1","3","1","1","1","1","1","1","2","2"
"SLC46A3","14","26","19","20","23","16","10","15"," 7","41","24","19","24","10","17","16","21","11","14"
"RNU6-53P","0","3","0","3","6","1","0","0","3","1","0","0","4","0","0","4","0","0","0"
"CYP51A1P2"," 6"," 7"," 7"," 4"," 7"," 7"," 8","11"," 5"," 5"," 5"," 5","10"," 4"," 6"," 4"," 3","10"," 9"
"POMP","44","32","42","42","37","35","31","42","43","54","38","35","52","27","34","36","48","34","61"
"TPP2","23","18","23","22","25","11","15","19","17","19","13","14","16","21","17","24","14","17","19"
"ATP7B"," 2"," 1"," 3"," 2"," 4"," 2"," 5"," 2"," 3"," 1"," 1","14"," 2"," 5"," 2"," 3"," 2"," 3"," 1"
"ALG11","5","5","5","6","5","3","4","5","5","4","4","4","4","4","3","4","4","5","2"
"MRPS31P5","2","2","3","2","3","1","3","2","3","3","1","2","1","1","2","2","1","1","0"
"NUP58","30","25","34","30","29","18","35","28","56","24","20","26","26","23","22","26","29","27","38"
"N4BP2L2","49","56","43","38","35","19","41","37","55","36","35","39","27","37","30","29","30","39","33"
"LRRC63","0","2","2","1","7","1","1","1","0","4","1","1","1","3","5","3","0","1","0"
"SAP18"," 66"," 50"," 74"," 60"," 79"," 48"," 61"," 73","105"," 85"," 91"," 88"," 81"," 65"," 73"," 53"," 89"," 66"," 96"
"PRECSIT","2","1","2","1","3","1","1","0","2","9","1","1","5","1","1","2","3","4","1"
"LINC00390","2","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0"
"CPB2-AS1","1","2","2","2","5","1","2","3","1","2","1","4","2","5","3","2","0","2","0"
"BRCA2","15"," 6","10"," 5","11"," 5"," 5"," 8"," 3"," 8"," 5"," 1"," 8","11"," 5","13"," 7"," 7","10"
"RNF17"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15"," 0"," 0"
"ARHGEF7","41","22","33","42","49","18","40","39","37","22","19","71","32","73","50","31","16","62","29"
"CDK8","14","12","16","18","20","11","21","18","37","13"," 9","19","20","19","14","17","10","17","22"
"RPS3AP44"," 2"," 5","19"," 3"," 8"," 1"," 4"," 7"," 6"," 1"," 5"," 5"," 6"," 6"," 3"," 3"," 0"," 2"," 6"
"RASA3-IT1","2","1","4","0","3","0","1","2","2","1","1","4","2","4","2","0","4","2","2"
"CFAP97D2","0","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0"
"CDC16","59","51","53","64","54","35","72","52","88","52","50","36","57","43","46","38","42","55","52"
"MIR548AR","31","24","18","30"," 7"," 0","54","10","53","17"," 5","11"," 8","16"," 0","15","16"," 7"," 7"
"MIR4502","0","4","0","4","5","0","8","0","0","2","0","0","0","2","2","0","0","0","0"
"UPF3A","31","31","33","37","38"," 8","25","32","28","19","23","24","22","31","24","16","14","27","24"
"CLCP2","1","0","0","0","1","0","2","2","1","0","0","2","0","0","1","1","1","0","0"
"CHAMP1","15","12","17","16","20"," 7","19","13","10","13","13","10","14","18","13","17","15","17","14"
"LINC01054","1","0","0","1","2","0","0","2","1","0","0","2","0","1","1","1","0","0","0"
"RPL23AP97","0","3","3","4","5","4","6","1","9","5","5","4","3","1","5","7","3","5","9"
"LINC00539","3","2","4","3","5","1","2","4","2","3","2","2","1","5","4","2","1","3","0"
"ZDHHC20","56","33","48","65","40","44","43","31","33","87","41","47","42","52","58","76","54","42","46"
"LINC00598","1","2","3","1","1","0","1","1","4","1","1","1","1","1","1","0","0","1","1"
"LINC00354","0","0","0","0","0","0","0","0","1","0","0","3","0","2","1","0","0","1","0"
"LINC00391","9","6","6","1","5","1","2","5","1","2","3","3","2","3","3","2","2","3","4"
"LINC00551","0","0","0","0","1","0","0","1","0","1","1","1","1","1","0","0","0","0","1"
"SOX21-AS1","20","18","15","13"," 8","10"," 7","19"," 6"," 6","10"," 7"," 8"," 8"," 5","15"," 9","12","18"
"LINC00571","4","7","1","5","3","2","4","4","7","2","4","4","4","2","2","1","2","3","2"
"DNAJC3-DT","10"," 6","10"," 4"," 8"," 3"," 4"," 8"," 5"," 4"," 4"," 5"," 6"," 5"," 5"," 5"," 2"," 4"," 6"
"TUSC8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"RB1-DT","3","1","2","1","2","1","1","1","1","1","1","0","2","1","1","1","1","1","0"
"OBI1-AS1"," 1"," 0"," 0"," 1"," 2"," 0"," 0","29"," 0"," 0"," 0"," 3"," 3"," 4"," 3"," 1"," 0"," 1"," 1"
"MIR4500HG","1","1","0","0","0","0","0","0","0","0","1","4","0","1","0","0","0","1","0"
"TPTE2P1"," 1"," 3"," 3"," 3"," 2"," 0"," 2"," 2"," 1"," 2"," 1","13"," 0"," 5"," 1"," 2"," 1"," 4"," 0"
"UBAC2-AS1","4","1","1","1","6","1","1","3","1","3","3","2","2","2","1","1","1","2","0"
"TPT1-AS1"," 5"," 7"," 6"," 8","10"," 2"," 7"," 6"," 7"," 4"," 4"," 7"," 3"," 6"," 5"," 4"," 2"," 6"," 2"
"DLEU2","14","14"," 8"," 8","12"," 4"," 6"," 8"," 6"," 8"," 5"," 5"," 8"," 6"," 9"," 8"," 4","10"," 3"
"SUGT1-DT","10"," 6"," 5"," 4"," 7"," 3"," 6"," 4","12"," 3"," 4"," 3"," 3"," 3"," 3"," 4"," 3"," 5"," 3"
"FGF14-AS2","44"," 9","13","20","20"," 9","13","15"," 3","13","14","27"," 5","18","13","18"," 8"," 8"," 9"
"LINC00621","0","1","0","1","1","0","0","0","0","0","0","2","0","2","1","0","0","0","0"
"PCCA-DT","5","7","7","4","5","3","3","2","3","5","5","2","2","5","1","3","4","5","4"
"MIPEPP3","6","3","4","4","6","1","4","7","3","4","2","1","3","4","4","4","3","3","3"
"SMIM2-AS1","2","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","1","1"
"CKAP2-DT","4","1","3","1","5","0","2","1","2","3","2","6","2","0","0","4","1","0","4"
"LINC01068","1","0","2","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"NDFIP2","28","17","21","17","18","13","20","31","31","26","21","65","16","23","15","15","17","25","18"
"DOCK9-AS1"," 6"," 7"," 4"," 1"," 4"," 1"," 1"," 3"," 2"," 5"," 2"," 8"," 1"," 6"," 2"," 2"," 0","10"," 1"
"RPL7L1P12","6","2","2","0","4","1","2","4","1","1","1","8","1","5","2","1","2","3","0"
"RNU6-83P"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 3","11"," 0"," 0"," 0"," 2"," 0"," 2"," 0"," 6"," 0"
"DOCK9-DT","2","1","0","1","1","0","0","2","1","1","1","5","1","3","2","0","0","1","0"
"GAPDHP22","2","0","0","1","3","0","2","1","1","1","1","1","0","0","2","1","1","2","0"
"DOCK9","26","20","17","10","25","14","11","17","10","24","13","64","18","46","31","13"," 7","30","14"
"TOMM40P1","0","0","1","0","3","0","0","1","2","1","1","1","1","2","1","1","1","1","0"
"DUXAP10","2","1","1","0","6","2","0","0","3","2","0","2","1","2","1","1","0","1","1"
"TRDJ1","31"," 7","17"," 3"," 0","28"," 9"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0","61"," 4","66"
"TRDD1","22"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"TRAJ54","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","5","0","0"
"TRAJ49","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","0","0","0","0"
"TRDJ3"," 6"," 9"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0","11"
"TRDD3"," 0"," 0","13"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"
"NOVA1","115"," 49"," 53"," 65"," 58"," 40","115"," 50"," 59","  3"," 35"," 37"," 36"," 51"," 51"," 71"," 72","125"," 89"
"TRDC","29"," 8"," 7"," 1"," 2","25"," 5"," 0"," 3","12"," 1"," 0"," 1"," 0"," 3"," 0","50"," 9","53"
"TRAJ58","0","0","0","5","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"TRDJ4"," 4","14"," 7"," 0"," 0"," 3"," 3"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0","12"," 0"," 0"
"ARHGAP5-AS1","15"," 5"," 4"," 1"," 4"," 5"," 4"," 3"," 4"," 2"," 4"," 7","12"," 5"," 5","27"," 2"," 3"," 3"
"LINC02293"," 6"," 1"," 2"," 8","15"," 1"," 6"," 3"," 1"," 0"," 1"," 1"," 1"," 4"," 5","11"," 2"," 7"," 5"
"TRAJ47","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","4","0","0","0"
"TRDJ2"," 6"," 3","13"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 5"
"G2E3-AS1","1","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0"
"TRAJ56","0","0","0","0","0","0","0","3","0","4","0","0","2","0","0","0","0","0","0"
"KIAA1143P1","15"," 5","15","13","12","11","10","17"," 8","13"," 7"," 5","11"," 8"," 6","15"," 6"," 4","13"
"LINC02294","16"," 1"," 0"," 7","10"," 1"," 7"," 4"," 3"," 0"," 0"," 0"," 2"," 5"," 5","10"," 2"," 8"," 7"
"HEATR5A-DT","2","2","2","1","2","2","2","1","2","1","1","2","1","2","2","2","1","2","1"
"NUBPL"," 8"," 7"," 9"," 4"," 5"," 8"," 7"," 6"," 5"," 5"," 7"," 7"," 6"," 7","10"," 7"," 5"," 6"," 7"
"BMS1P17","2","1","1","1","4","1","0","0","1","3","0","1","0","1","2","1","1","0","0"
"SNX6"," 76"," 56"," 69"," 64"," 53"," 70"," 52"," 41"," 47"," 91"," 61"," 33"," 66"," 32"," 64"," 75","130"," 48"," 79"
"TRAJ53","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"TRAJ45","0","3","0","0","0","0","0","0","0","2","0","0","4","0","0","0","2","0","0"
"ATP5MC2P2","0","0","0","1","0","1","0","1","1","1","0","1","0","0","1","0","1","0","0"
"TRAJ55","0","9","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"LINC00645"," 1"," 6"," 1"," 3"," 6"," 1"," 1"," 0","10"," 0"," 0"," 0"," 2"," 1"," 8"," 0"," 8","10"," 1"
"GLRX5P3","4","4","6","4","3","4","6","0","1","1","2","5","0","8","7","1","2","3","1"
"TXNDC16","24","23","35","23","21","18","22","30","25","18"," 9","34","36","25","30","26","25","23","40"
"LINC00648","0","0","0","1","4","0","0","0","0","1","2","0","0","0","2","3","0","0","0"
"PTGDR","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0"
"LINC02315","0","0","0","0","0","0","0","0","0","0","0","0","1","0","5","0","0","0","0"
"KRT8P1","1","3","0","0","1","1","1","0","0","2","1","1","1","4","8","2","0","3","0"
"LINC02313","2","1","2","0","1","1","1","3","0","1","1","1","0","3","5","4","0","1","1"
"LRFN5-DT","0","0","1","0","1","0","0","0","0","1","2","5","0","1","2","0","0","2","0"
"FERMT2"," 95"," 52"," 70"," 96"," 44","120","105"," 48","151"," 33"," 81"," 35"," 82"," 31"," 66"," 58"," 87"," 84","136"
"DTD2"," 7"," 6","10"," 5"," 5"," 9"," 5"," 8"," 4"," 7"," 9"," 7","15"," 7"," 8","12"," 7"," 6"," 5"
"PSMC6","29","20","26","28","20","29","26","21","35","25","20","26","30","18","26","27","28","26","38"
"LINC00519","1","0","0","2","2","0","0","1","3","1","1","0","1","1","2","0","0","0","0"
"HMGN2P6","0","0","0","1","2","1","2","2","1","1","1","1","2","0","0","2","1","0","0"
"RRAGAP1","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","1"
"MAD2L1P1","5","4","5","9","6","5","3","4","5","2","8","6","4","5","5","5","2","6","1"
"NOVA1-DT","15"," 2"," 2"," 7","17"," 1"," 6"," 5"," 1"," 0"," 1"," 1"," 2"," 6"," 6","10"," 2"," 6"," 7"
"GNRHR2P1","1","1","1","1","2","1","1","1","2","0","0","0","0","2","3","0","1","0","2"
"LRRC9","10"," 2"," 2"," 4"," 2"," 1"," 0"," 3"," 1"," 2"," 2"," 4"," 1"," 1"," 1"," 3"," 0"," 1"," 0"
