"","SRR11365272","SRR11365273","SRR11365275","SRR11365277","SRR11365279","SRR11365282","SRR11365284","SRR11365285","SRR11365286","SRR11365287","SRR11365288","SRR11365289","SRR11365291","SRR11365293","SRR11365294","SRR11365296","SRR11365299","SRR11365300","SRR11365301"
"RNU6-108P","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"SNORD19"," 5"," 5","15","13","36"," 7"," 7","20","53"," 2"," 5"," 6"," 6"," 8"," 9","22","13","24","17"
"SNORD19C","30","25","69","28","41","10","18","34","49"," 5","10"," 8"," 8"," 5"," 6","25"," 8"," 8","22"
"SNORD69","14","29","16","17","24","20","10","15","35"," 5"," 4"," 5"," 4","12"," 4","28"," 8","13"," 8"
"RNU6ATAC26P","0","3","1","1","0","0","0","2","0","0","1","0","0","0","0","2","0","0","0"
"MIR4272","8","0","5","0","3","0","0","0","0","0","0","0","0","0","0","0","9","0","0"
"RNU6-483P","2","2","8","3","0","0","1","4","3","3","3","0","0","0","3","0","0","0","0"
"RNA5SP135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"RN7SL863P"," 2"," 2"," 0"," 1"," 6"," 1","10"," 0"," 0"," 0"," 1"," 3"," 2"," 1"," 2"," 4"," 4"," 1"," 0"
"RNU6-139P"," 5"," 5"," 0"," 3"," 7"," 9"," 4"," 0"," 0"," 3"," 3"," 2"," 1"," 2","13"," 4"," 0"," 0"," 0"
"RNA5SP134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"RNU7-119P"," 8","38","50","14"," 3"," 2","15","41"," 0"," 4","10"," 0","26","27"," 7","41"," 0"," 3","12"
"RNU2-64P"," 3","17","66"," 1"," 0"," 0"," 5"," 2"," 1"," 0"," 0"," 0"," 0"," 2"," 0"," 1"," 0"," 2"," 0"
"RNU7-19P"," 3","10"," 5"," 6"," 0"," 2"," 2"," 0"," 0"," 4"," 9"," 0"," 0"," 3"," 0"," 3"," 0"," 9"," 0"
"RNU2-10P","2","2","1","3","0","4","4","7","8","1","0","2","0","5","0","3","0","9","1"
"MIR8064","6","8","6","3","2","0","0","9","2","5","2","9","2","8","3","0","0","2","1"
"MIR1324","0","0","0","0","4","2","0","0","2","0","2","2","0","2","0","0","3","2","1"
"RNA5SP131","0","0","0","0","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0"
"RNU6-739P","0","0","5","0","0","0","3","2","0","0","2","0","0","0","0","0","0","0","0"
"RN7SL751P"," 6"," 5"," 4"," 6","12"," 1","13"," 7"," 2"," 7"," 4"," 9"," 5","16"," 6"," 5"," 3","12"," 5"
"MIR3923","0","6","0","0","0","0","0","0","0","0","0","5","0","0","0","0","2","0","0"
"MIR3136"," 4"," 7"," 4"," 4"," 8","16","12"," 5","35"," 4"," 4"," 5"," 6"," 2"," 6","11"," 4"," 5"," 3"
"RNU2-28P"," 3","16","11"," 8","13","10","13"," 2","25"," 7"," 6"," 4"," 7"," 4"," 2","11","11","11"," 3"
"MIR3921","0","0","2","0","2","2","0","0","4","0","4","5","2","0","0","0","0","0","0"
"MIR138-1"," 2","10"," 2","22"," 8"," 5"," 2"," 0"," 0"," 1"," 3","32"," 0","19","13","67"," 5","10"," 1"
"MIR5787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0"
"RNU6-1127P","10","11","15"," 7"," 6"," 4"," 1","11"," 0"," 1"," 3"," 2"," 0"," 5"," 3"," 6"," 0","10"," 4"
"RN7SL815P"," 6"," 4"," 3"," 8"," 6"," 3"," 6"," 4","24"," 5"," 1"," 4"," 1"," 5"," 6","25"," 3","22"," 3"
"RN7SL582P"," 5","12"," 3"," 9"," 4"," 7"," 3"," 4"," 1"," 3"," 3","18"," 1"," 4"," 1"," 2"," 1","10"," 4"
"MIR8076"," 0"," 2"," 4"," 2"," 2"," 2"," 6","12"," 4"," 2"," 0"," 0"," 0","11"," 6"," 0"," 0"," 0"," 3"
"MIR5682"," 0"," 0"," 2"," 0"," 3"," 0"," 2"," 3"," 0"," 0"," 0","32"," 0","12"," 6"," 0"," 0"," 0"," 0"
"MIR4447","12"," 4"," 2"," 2"," 5"," 7"," 2"," 4"," 7"," 2"," 7","18"," 3","14"," 3"," 7"," 7","18"," 7"
"RNU5E-8P"," 0","21"," 0"," 4"," 5"," 4"," 0"," 2"," 0"," 1","12"," 9"," 0"," 5"," 5","13"," 0"," 5"," 4"
"RNA5SP137","3","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","0","0","0"
"RN7SL767P","167","137","103","141"," 97"," 81"," 80"," 76"," 98"," 51","118","105"," 91","161","271","123","116","116"," 65"
"MIR4446"," 0"," 0"," 0"," 2"," 3"," 0"," 0","15"," 2"," 0"," 0"," 3"," 2","14"," 0"," 0"," 0"," 3"," 0"
"MIR6825","0","0","0","0","3","0","2","3","5","0","0","3","0","6","0","0","0","0","0"
"MIR7976","0","8","0","2","0","0","0","0","5","6","0","9","2","3","0","0","5","0","0"
"RNU6-1200P","26","35"," 0","20","19","10","17","13"," 3"," 4","14","43"," 4","18","22","38","10","44","11"
"RNU6-1284P"," 3"," 5"," 4"," 1","12"," 2"," 0"," 2"," 6"," 4"," 3"," 4"," 1"," 4"," 6"," 2"," 1"," 8"," 0"
"RNU6-789P"," 7"," 5"," 2","14"," 8"," 0"," 3"," 4"," 7"," 4"," 5"," 4"," 1"," 9"," 2"," 6"," 0"," 0"," 1"
"RN7SKP124","4","3","3","4","2","0","0","2","1","1","0","1","2","4","5","4","0","4","2"
"RN7SL724P","2","3","5","0","3","6","3","8","1","2","5","6","6","6","4","6","2","4","0"
"RN7SL300P","1","1","1","2","1","0","0","1","1","1","1","1","0","2","4","1","1","0","0"
