"","Gene","logFC","padj"
"7401","RAD51",1.77263113008096,2.44147717315646e-05
"7402","SNORD15B",0.956561948589691,2.45234729498603e-05
"7403","PPP1R26",-0.572912296861029,2.45408891145554e-05
"7404","RFLNB",1.00121048505182,2.45669974366113e-05
"7405","PDCL3P6",-1.5065984401329,2.46712221415399e-05
"7406","TMEM167A",0.668820920179124,2.46867055525818e-05
"7407","PURG",-0.676642869158972,2.47194690127583e-05
"7408","GYPA",-2.85857238337609,2.48189930483084e-05
"7409","MIR181A1HG",0.972247476065261,2.48459810986429e-05
"7410","DOCK9-AS1",-1.26834873836935,2.49034027009437e-05
"7411","TPR",0.536097968081826,2.49207589689331e-05
"7412","INTS7",0.679913393345873,2.49734707918465e-05
"7413","RN7SL788P",-1.67149011523812,2.50433736503174e-05
"7414","ACOT4",-2.29449850749211,2.50716482072998e-05
"7415","ROS1",-2.85130006682552,2.5077295039282e-05
"7416","NDUFA13",-0.612898419297537,2.51462815000326e-05
"7417","CSNK2B",-0.808754846915605,2.51644993802014e-05
"7418","OCEL1",-0.796406831226869,2.52952574148292e-05
"7419","SLC25A5P1",-1.82272564178332,2.53201522519324e-05
"7420","SPATA7",-0.76377897693674,2.53260957959281e-05
"7421","SNORD104",1.86953203352953,2.53503766721696e-05
"7422","RN7SKP53",-2.93764323240697,2.54846624372852e-05
"7423","MAP3K8",1.95583509733929,2.5561598121541e-05
"7424","GOLGA2P8",-1.58730345685304,2.55660099853203e-05
"7425","WDR3",0.706560700464907,2.57691611440205e-05
"7426","LINC00470",-2.89199900989189,2.58009231125666e-05
"7427","ARMH3",-0.546286016994811,2.5842459792992e-05
"7428","BNIP3P11",1.64666515418186,2.58708272879255e-05
"7429","SS18L1",-0.685914630594814,2.59606688814525e-05
"7430","KCNK4",-2.82262855099919,2.59765202568521e-05
"7431","GINS3",1.73028996599402,2.60221906970235e-05
"7432","AHNAK2",-1.6531135487497,2.60240267261228e-05
"7433","PLEK2",1.91454215552612,2.60520462492927e-05
"7434","DVL3",0.53107605900594,2.60909758394381e-05
"7435","SPAG6",-2.40378985213719,2.61230430041363e-05
"7436","CCDC62",-1.26232568388286,2.61771764070961e-05
"7437","CPP",2.75634965123841,2.62798507163894e-05
"7438","RN7SKP150",-1.3910980859436,2.6290192686654e-05
"7439","LYL1",1.57386220723553,2.629222214078e-05
"7440","ADAMTS14",2.55846271691897,2.63273157750679e-05
"7441","KIRREL3-AS2",-2.06076614600773,2.63639509830293e-05
"7442","TRIQK",-0.693948753284728,2.64506420232151e-05
"7443","HBS1L",-0.552871164345509,2.64629038467637e-05
"7444","MIR885",-3.17993521719845,2.64759726762778e-05
"7445","GAD2",-3.56245022442081,2.64803399998477e-05
"7446","ADIPOR2",0.713698204471912,2.64899416238152e-05
"7447","MIR1302-8",-1.59103005165615,2.65502709373801e-05
"7448","SYN2",-3.04313920784985,2.66414265193775e-05
"7449","RGP1",-0.515933851540545,2.66414265193775e-05
"7450","MIR4521",3.39856963972698,2.67185308987659e-05
"7451","LINC01637",-1.41003241591395,2.67455491073396e-05
"7452","PCDHGA11",1.61760328861317,2.67553288800609e-05
"7453","RHOB",0.949415258793602,2.68254888513927e-05
"7454","ZMYND15",1.93734141983847,2.68254888513927e-05
"7455","GET3",0.536095261694126,2.6955673043043e-05
"7456","C1orf162",1.57604774203602,2.69900694617361e-05
"7457","ATP8A2",-2.89791836199163,2.69900694617361e-05
"7458","OR6A2",-2.76973070979588,2.71098424651319e-05
"7459","CNN3P1",-2.83664167627907,2.72520464696444e-05
"7460","PCDHGB3",1.8952531195493,2.73321498296786e-05
"7461","HAR1B",-2.90887670840842,2.74229919103116e-05
"7462","LAMTOR2",0.572689088024542,2.74664543647648e-05
"7463","PSME2P1",1.96522761130274,2.75583107031664e-05
"7464","DZIP1",-0.739243189942144,2.75797959297739e-05
"7465","TMEM145",-1.18775905927336,2.7717320546193e-05
"7466","LANCL1-AS1",-1.04371402072901,2.79945200898034e-05
"7467","PRPF38A",0.754881623278599,2.80516293687363e-05
"7468","POLG2",0.935969528082611,2.80862820905718e-05
"7469","ZC3H6",-0.547644585594031,2.81093245581607e-05
"7470","STX8P1",2.62488257547789,2.81163149526579e-05
