ID	adj.P.Val	P.Value	t	B	logFC	Gene
A_24_P137522	8.22E-01	5.99E-01	-0.53022372	-6.24620204	-7.00E-02	USP53
A_32_P128701	9.82E-01	9.50E-01	-0.06374108	-6.38406801	-7.64E-03	USP53
A_23_P355536	7.51E-01	4.92E-01	-0.69409148	-6.14704959	-1.24E-01	USP54
A_24_P238040	1.62E-01	3.25E-02	2.22486623	-4.07338018	5.44E-01	USP6
A_33_P3414312	7.47E-01	4.87E-01	-0.70264425	-6.14116342	-7.66E-02	USP6
A_23_P207666	7.68E-01	5.17E-01	-0.65486088	-6.17314902	-1.22E-01	USP6
A_33_P3304888	8.90E-01	7.32E-01	0.34519914	-6.32666498	4.17E-02	USP6
A_24_P398130	8.61E-01	6.73E-01	-0.4248955	-6.29613322	-1.00E-01	USP6NL
A_24_P245108	5.40E-02	5.78E-03	-2.93505829	-2.54007133	-4.07E-01	USP7
A_23_P129058	3.68E-01	1.26E-01	-1.56711679	-5.20032939	-2.28E-01	USP8
A_33_P3387771	4.23E-01	1.61E-01	-1.43277093	-5.38947783	-2.44E-01	USP9X
A_33_P3725324	6.91E-01	4.13E-01	-0.82786783	-6.04699816	-7.13E-01	USP9Y
A_33_P3217700	7.48E-01	4.88E-01	-0.70014159	-6.14289305	-7.42E-01	USP9Y
A_23_P128641	1.42E-01	2.62E-02	-2.31841329	-3.88843026	-3.36E-01	USPL1
A_23_P314145	1.45E-01	2.72E-02	-2.30261021	-3.92006889	-4.69E-01	UST
A_33_P3294217	1.01E-01	1.53E-02	2.54757533	-3.41235236	1.68E-01	UTF1
A_32_P77977	2.72E-01	7.57E-02	-1.82914463	-4.78980657	-2.47E-01	UTP11L
A_23_P11774	4.27E-01	1.63E-01	-1.42472048	-5.4003364	-2.12E-01	UTP11L
A_23_P205216	9.36E-01	8.31E-01	-0.21488148	-6.36304426	-2.22E-02	UTP14A
A_24_P201879	5.97E-02	6.75E-03	-2.87505121	-2.68023888	-4.36E-01	UTP14C
A_33_P3229161	4.08E-01	1.51E-01	-1.46862315	-5.34046108	-2.24E-01	UTP14C
A_23_P213441	1.45E-01	2.72E-02	-2.30278191	-3.91972599	-5.16E-01	UTP15
A_23_P130020	8.64E-01	6.80E-01	-0.4162443	-6.29975048	-4.93E-02	UTP18
A_23_P162525	1.53E-01	2.96E-02	-2.26545142	-3.99383386	-1.99E-01	UTP20
A_23_P157679	8.44E-02	1.15E-02	-2.66208568	-3.16293159	-2.73E-01	UTP23
A_33_P3221164	7.95E-01	5.56E-01	-0.59478708	-6.21023993	-1.52E-01	UTP23
A_23_P92424	5.87E-01	2.96E-01	-1.06084148	-5.83270794	-1.02E-01	UTP3
A_23_P164237	5.33E-01	2.45E-01	-1.18248675	-5.70111953	-9.03E-02	UTP6
A_33_P3234864	6.08E-02	6.94E-03	-2.86397054	-2.70592812	-2.74E-01	UTRN
A_33_P3234849	1.41E-01	2.58E-02	-2.32483059	-3.87553728	-2.36E-01	UTRN
A_33_P3234855	2.12E-01	5.00E-02	-2.02861063	-4.44248123	-1.94E-01	UTRN
A_32_P524014	7.93E-01	5.53E-01	-0.59856725	-6.20800888	-8.41E-02	UTRN
A_33_P3234859	8.68E-01	6.88E-01	0.40474864	-6.30444306	5.63E-02	UTRN
A_23_P63343	9.00E-02	1.28E-02	2.62076595	-3.25378015	5.24E-01	UTS2
A_24_P45620	7.94E-01	5.55E-01	0.59550443	-6.20981761	6.74E-02	UTS2
A_32_P225659	9.35E-01	8.29E-01	-0.21796922	-6.36237742	-6.34E-03	UTS2D
A_23_P146885	7.60E-01	5.05E-01	-0.67411826	-6.16052225	-6.06E-02	UTS2R
A_33_P3228977	5.81E-01	2.89E-01	-1.07549768	-5.8175594	-5.44E-01	UTY
A_23_P160004	7.04E-01	4.29E-01	-0.79930296	-6.06978827	-3.57E-01	UTY
A_23_P329835	7.13E-01	4.41E-01	-0.77916729	-6.08538957	-6.80E-02	UTY
A_33_P3260722	6.24E-01	3.35E-01	-0.97807808	-5.91457786	-2.05E-01	UVRAG
A_23_P67829	3.71E-01	1.28E-01	-1.55978577	-5.211033	-1.90E-01	UXS1
A_33_P3350553	8.40E-01	6.31E-01	-0.48449978	-6.26921257	-2.11E-01	UXT
A_23_P159663	9.87E-01	9.62E-01	-0.04849544	-6.38492281	-3.66E-03	UXT
A_23_P77590	8.05E-04	1.08E-05	-5.10793344	3.32695126	-3.37E-01	VAC14
A_23_P77593	2.09E-03	4.46E-05	-4.64277856	1.9877658	-3.69E-01	VAC14
A_33_P3246283	4.59E-01	1.85E-01	-1.34993827	-5.49858674	-1.73E-01	VAC14
A_33_P3363091	8.55E-01	6.62E-01	0.4408077	-6.28928774	6.39E-02	VAC14
A_23_P105545	6.19E-01	3.29E-01	0.98889708	-5.90423211	3.56E-01	VAMP1
A_33_P3213493	9.30E-03	4.16E-04	-3.88995873	-0.11045153	-4.74E-01	VAMP2
A_23_P164341	3.32E-01	1.06E-01	-1.660209	-5.06065013	-1.88E-01	VAMP2
A_33_P3409886	8.19E-01	5.95E-01	-0.53614003	-6.24307548	-4.53E-02	VAMP2
A_24_P370887	9.53E-01	8.74E-01	-0.16031819	-6.3732617	-2.38E-02	VAMP3
A_23_P97532	9.95E-01	9.86E-01	0.01746469	-6.38594535	2.63E-03	VAMP3
